,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2469542,1802-09-01,28.53,1.877,Gandhinagar,India,23.31N,72.52E
2469543,1802-10-01,27.782,2.957,Gandhinagar,India,23.31N,72.52E
2469544,1802-11-01,23.939,1.986,Gandhinagar,India,23.31N,72.52E
2469545,1802-12-01,19.971,1.901,Gandhinagar,India,23.31N,72.52E
2469546,1803-01-01,18.037,2.06,Gandhinagar,India,23.31N,72.52E
2469547,1803-02-01,20.618,2.717,Gandhinagar,India,23.31N,72.52E
2469548,1803-03-01,25.958,2.26,Gandhinagar,India,23.31N,72.52E
2469549,1803-04-01,31.401,1.859,Gandhinagar,India,23.31N,72.52E
2469550,1803-05-01,33.496,1.669,Gandhinagar,India,23.31N,72.52E
2469551,1803-06-01,32.352000000000004,1.53,Gandhinagar,India,23.31N,72.52E
2469552,1803-07-01,29.666,1.632,Gandhinagar,India,23.31N,72.52E
2469553,1803-08-01,29.065,1.824,Gandhinagar,India,23.31N,72.52E
2469554,1803-09-01,28.665,1.639,Gandhinagar,India,23.31N,72.52E
2469555,1803-10-01,27.513,2.4730000000000003,Gandhinagar,India,23.31N,72.52E
2469556,1803-11-01,24.439,2.224,Gandhinagar,India,23.31N,72.52E
2469557,1803-12-01,19.991,2.384,Gandhinagar,India,23.31N,72.52E
2469558,1804-01-01,19.881,3.444,Gandhinagar,India,23.31N,72.52E
2469559,1804-02-01,21.393,1.927,Gandhinagar,India,23.31N,72.52E
2469560,1804-03-01,25.839,3.176,Gandhinagar,India,23.31N,72.52E
2469561,1804-04-01,32.254000000000005,1.877,Gandhinagar,India,23.31N,72.52E
2469562,1804-05-01,33.846000000000004,1.737,Gandhinagar,India,23.31N,72.52E
2469563,1804-06-01,32.611999999999995,1.536,Gandhinagar,India,23.31N,72.52E
2469564,1804-07-01,30.436,2.2430000000000003,Gandhinagar,India,23.31N,72.52E
2469565,1804-08-01,28.063,1.7080000000000002,Gandhinagar,India,23.31N,72.52E
2469566,1804-09-01,28.454,2.951,Gandhinagar,India,23.31N,72.52E
2469567,1804-10-01,27.342,1.918,Gandhinagar,India,23.31N,72.52E
2469568,1804-11-01,25.321,3.168,Gandhinagar,India,23.31N,72.52E
2469569,1804-12-01,19.669,3.164,Gandhinagar,India,23.31N,72.52E
2469570,1805-01-01,19.761,1.826,Gandhinagar,India,23.31N,72.52E
2469571,1805-02-01,21.439,2.302,Gandhinagar,India,23.31N,72.52E
2469572,1805-03-01,26.657,1.781,Gandhinagar,India,23.31N,72.52E
2469573,1805-04-01,30.157,2.122,Gandhinagar,India,23.31N,72.52E
2469574,1805-05-01,33.18000000000001,1.37,Gandhinagar,India,23.31N,72.52E
2469575,1805-06-01,32.649,2.246,Gandhinagar,India,23.31N,72.52E
2469576,1805-07-01,28.907,1.774,Gandhinagar,India,23.31N,72.52E
2469577,1805-08-01,28.56,1.365,Gandhinagar,India,23.31N,72.52E
2469578,1805-09-01,27.929,2.065,Gandhinagar,India,23.31N,72.52E
